code,label,category,subcategory,aliases
REV_001,Revenue,Income Statement,Revenue,"Sales,Turnover,Gross Sales,Net Sales"
REV_002,Product Revenue,Income Statement,Revenue,"Product Sales,Goods Revenue"
REV_003,Service Revenue,Income Statement,Revenue,"Service Sales,Consulting Revenue"
REV_004,Other Revenue,Income Statement,Revenue,"Miscellaneous Revenue,Other Income"
COGS_001,Cost of Goods Sold,Income Statement,COGS,"COGS,Cost of Sales,Direct Costs"
COGS_002,Materials,Income Statement,COGS,"Raw Materials,Direct Materials"
COGS_003,Labor,Income Statement,COGS,"Direct Labor,Production Labor"
COGS_004,Manufacturing Overhead,Income Statement,COGS,"Factory Overhead,Production Overhead"
GP_001,Gross Profit,Income Statement,Gross Profit,"Gross Margin,Gross Income"
OPEX_001,Operating Expenses,Income Statement,Operating Expenses,"OpEx,SG&A"
OPEX_002,Research & Development,Income Statement,Operating Expenses,"R&D,Product Development"
OPEX_003,Sales & Marketing,Income Statement,Operating Expenses,"S&M,Marketing Expenses"
OPEX_004,General & Administrative,Income Statement,Operating Expenses,"G&A,Administrative Expenses"
OPEX_005,Salaries & Wages,Income Statement,Operating Expenses,"Payroll,Employee Compensation"
OPEX_006,Rent,Income Statement,Operating Expenses,"Lease Expenses,Facility Costs"
OPEX_007,Utilities,Income Statement,Operating Expenses,"Power,Water,Gas"
OPEX_008,Insurance,Income Statement,Operating Expenses,"Business Insurance,Liability Insurance"
OPEX_009,Professional Fees,Income Statement,Operating Expenses,"Legal,Accounting,Consulting Fees"
OPEX_010,Depreciation,Income Statement,Operating Expenses,"D&A,Amortization"
EBIT_001,Operating Income,Income Statement,Operating Income,"EBIT,Operating Profit,EBITDA"
INT_001,Interest Income,Income Statement,Non-Operating,"Investment Income,Interest Earned"
INT_002,Interest Expense,Income Statement,Non-Operating,"Interest Paid,Finance Costs"
TAX_001,Income Tax Expense,Income Statement,Taxes,"Tax Expense,Provision for Income Taxes"
NI_001,Net Income,Income Statement,Net Income,"Net Profit,Earnings,Bottom Line"
ASSET_CURR_001,Cash,Balance Sheet,Current Assets,"Cash and Cash Equivalents,Cash on Hand"
ASSET_CURR_002,Accounts Receivable,Balance Sheet,Current Assets,"AR,Trade Receivables,Debtors"
ASSET_CURR_003,Allowance for Doubtful Accounts,Balance Sheet,Current Assets,"Bad Debt Reserve,Credit Loss Allowance"
ASSET_CURR_004,Inventory,Balance Sheet,Current Assets,"Stock,Merchandise Inventory"
ASSET_CURR_005,Prepaid Expenses,Balance Sheet,Current Assets,"Prepayments,Deferred Costs"
ASSET_CURR_006,Other Current Assets,Balance Sheet,Current Assets,"Short-term Assets"
ASSET_FA_001,Property Plant & Equipment,Balance Sheet,Fixed Assets,"PP&E,Fixed Assets,Capital Assets"
ASSET_FA_002,Land,Balance Sheet,Fixed Assets,"Real Estate,Property"
ASSET_FA_003,Buildings,Balance Sheet,Fixed Assets,"Structures,Facilities"
ASSET_FA_004,Machinery & Equipment,Balance Sheet,Fixed Assets,"Equipment,Machinery"
ASSET_FA_005,Furniture & Fixtures,Balance Sheet,Fixed Assets,"FF&E,Office Equipment"
ASSET_FA_006,Vehicles,Balance Sheet,Fixed Assets,"Fleet,Transportation Equipment"
ASSET_FA_007,Accumulated Depreciation,Balance Sheet,Fixed Assets,"Accum Depr,Depreciation Reserve"
ASSET_FA_008,Net PP&E,Balance Sheet,Fixed Assets,"Net Fixed Assets,Net Capital Assets"
ASSET_INT_001,Goodwill,Balance Sheet,Intangible Assets,"Acquisition Goodwill"
ASSET_INT_002,Intangible Assets,Balance Sheet,Intangible Assets,"Patents,Trademarks,IP"
ASSET_INT_003,Accumulated Amortization,Balance Sheet,Intangible Assets,"Accum Amort"
ASSET_OTH_001,Investments,Balance Sheet,Other Assets,"Long-term Investments,Securities"
ASSET_OTH_002,Other Assets,Balance Sheet,Other Assets,"Long-term Assets,Deferred Tax Assets"
LIAB_CURR_001,Accounts Payable,Balance Sheet,Current Liabilities,"AP,Trade Payables,Creditors"
LIAB_CURR_002,Accrued Expenses,Balance Sheet,Current Liabilities,"Accruals,Accrued Liabilities"
LIAB_CURR_003,Short-term Debt,Balance Sheet,Current Liabilities,"Current Portion of LT Debt,ST Borrowings"
LIAB_CURR_004,Deferred Revenue,Balance Sheet,Current Liabilities,"Unearned Revenue,Advance Payments"
LIAB_CURR_005,Income Tax Payable,Balance Sheet,Current Liabilities,"Tax Liability,Taxes Owed"
LIAB_CURR_006,Other Current Liabilities,Balance Sheet,Current Liabilities,"Short-term Liabilities"
LIAB_LT_001,Long-term Debt,Balance Sheet,Long-term Liabilities,"LT Debt,Notes Payable,Bonds"
LIAB_LT_002,Deferred Tax Liability,Balance Sheet,Long-term Liabilities,"DTL,Tax Deferrals"
LIAB_LT_003,Other Long-term Liabilities,Balance Sheet,Long-term Liabilities,"LT Liabilities"
EQUITY_001,Common Stock,Balance Sheet,Equity,"Share Capital,Common Shares"
EQUITY_002,Preferred Stock,Balance Sheet,Equity,"Preferred Shares"
EQUITY_003,Additional Paid-in Capital,Balance Sheet,Equity,"APIC,Share Premium"
EQUITY_004,Retained Earnings,Balance Sheet,Equity,"RE,Accumulated Earnings"
EQUITY_005,Treasury Stock,Balance Sheet,Equity,"Repurchased Stock,Own Shares"
EQUITY_006,Dividends,Balance Sheet,Equity,"Distributions,Shareholder Dividends"
CF_OP_001,Cash from Operating Activities,Cash Flow,Operating,"Operating Cash Flow,CFO"
CF_OP_002,Net Income Adjustment,Cash Flow,Operating,"Net Income for CF"
CF_OP_003,Depreciation & Amortization,Cash Flow,Operating,"D&A Add-back"
